temperature,humidity,mq2,mq135,Vibration,AQI_Level
28.5,97.3482346066831,86,82,VIBRATING,Unhealthy
29.5,97.92946918240031,1424,798,STABLE,Unhealthy for Sensitive Groups
30.5,96.84548235794836,713,3873,STABLE,Unhealthy
31.8,97.74860388069145,706,623,STABLE,Moderate
26.8,96.35312084969567,1018,771,STABLE,Unhealthy for Sensitive Groups
29.3,96.33344065962817,898,1832,STABLE,Unhealthy for Sensitive Groups
30.2,99.13104473842031,95,57,STABLE,Good
32.1,97.95463069090484,2031,2889,STABLE,Unhealthy
28.44873245,94.2681873201403,87,81,STABLE,Unhealthy for Sensitive Groups
25.6,98.12124771687971,240,165,STABLE,Good
27.3,98.3890838605784,52,160,STABLE,Good
32.4,98.40316783341157,551,1199,STABLE,Moderate
33.8,96.39659591451071,400,638,STABLE,Moderate
28.7,97.16434028045627,86,82,STABLE,Moderate
32.8,96.37150444207091,903,3493,STABLE,Unhealthy
24.8,99.23248330763165,1246,1825,STABLE,Unhealthy for Sensitive Groups
25.0,98.84633539818462,435,826,VIBRATING,Moderate
28.42834256,98.30393173169495,86,83,STABLE,Unhealthy for Sensitive Groups
27.3,95.52574009397726,722,635,STABLE,Moderate
27.2,98.3005775467267,3286,183,STABLE,Unhealthy
24.4,97.78016128865984,1358,1650,STABLE,Unhealthy for Sensitive Groups
27.0,93.85968562717154,1679,1125,STABLE,Unhealthy for Sensitive Groups
30.456107535057537,99.73370693448474,482,4095,STABLE,Unhealthy
30.03272591,94.45763220019546,69,79,STABLE,Unhealthy
29.6,98.94346781458086,66,77,STABLE,Moderate
29.4,95.80653439827412,233,195,STABLE,Good
30.3,97.82846297664196,515,2827,STABLE,Unhealthy
28.5,98.86415261941069,63,100,STABLE,Good
33.00502001,97.10407674354151,96,59,VIBRATING,Good
24.9,97.83648351844982,183,119,STABLE,Good
24.7,94.530108298811,4006,1363,STABLE,Unhealthy
28.2,98.20749035119671,672,490,VIBRATING,Moderate
30.0,97.36595216608058,607,1057,STABLE,Moderate
33.9,98.39523592852981,3763,3655,STABLE,Unhealthy
28.68404067,99.01112239935263,93,83,STABLE,Unhealthy for Sensitive Groups
28.36760099,98.67712003210995,84,83,STABLE,Unhealthy for Sensitive Groups
29.21467521,98.27698843826447,47,93,VIBRATING,Unhealthy
32.2,95.77905866998496,1598,894,STABLE,Unhealthy for Sensitive Groups
31.6,97.32283285880095,31,197,STABLE,Good
33.6,98.80974159694833,964,1020,STABLE,Unhealthy for Sensitive Groups
29.161906,95.98326470702453,47,89,STABLE,Unhealthy for Sensitive Groups
29.5,97.71478471049261,74,83,VIBRATING,Moderate
28.3,97.8195750027038,34,73,VIBRATING,Good
32.3,98.77230778168052,36,181,STABLE,Good
26.6,94.76418180401193,297,429,STABLE,Moderate
28.9,95.47489311108981,175,81,STABLE,Moderate
24.6,95.85878342958404,136,35,STABLE,Good
28.4,97.02032801120356,84,73,VIBRATING,Moderate
32.1,97.74288507549798,1408,1759,STABLE,Unhealthy for Sensitive Groups
29.6,97.89458480512315,3981,3342,STABLE,Unhealthy
28.7,96.83960601205737,988,3657,STABLE,Unhealthy
29.74853131,96.40270433217833,71,72,STABLE,Unhealthy for Sensitive Groups
32.2,98.86979262506297,303,3372,STABLE,Unhealthy
30.4,93.75721289741013,791,757,STABLE,Moderate
32.4,97.80135728915776,163,38,STABLE,Good
25.5,94.68106836950018,35,72,STABLE,Good
25.5,98.48640787920276,226,189,STABLE,Good
26.5,99.27583294368321,326,2503,STABLE,Unhealthy
26.5,96.06684196468954,1343,723,STABLE,Unhealthy for Sensitive Groups
29.8,98.18872402383563,96,78,STABLE,Good
28.7,94.05861615512941,196,246,STABLE,Good
26.7,96.3467965954296,807,332,VIBRATING,Moderate
32.0,96.55220409349792,874,758,STABLE,Moderate
26.0,97.93404652079258,3315,3609,STABLE,Unhealthy
28.9,96.04370218113107,976,3809,STABLE,Unhealthy
31.8,98.90381851770948,159,89,STABLE,Good
28.7,96.07900488342166,331,3181,STABLE,Unhealthy
32.5,95.32438068120322,598,358,STABLE,Moderate
28.7,97.80893833694901,180,90,STABLE,Moderate
28.6,95.3139926835823,562,839,STABLE,Moderate
33.8,93.19640659525653,185,54,STABLE,Good
30.4,97.26350269745153,94,62,STABLE,Good
28.81008682,96.47509083812524,69,211,STABLE,Unhealthy for Sensitive Groups
28.0,95.36352216188236,1653,964,STABLE,Unhealthy for Sensitive Groups
27.9,97.64082986907259,1394,1022,STABLE,Unhealthy for Sensitive Groups
33.0,95.80620012502946,954,1004,STABLE,Unhealthy for Sensitive Groups
25.51069454597891,99.1587933993372,691,4095,STABLE,Unhealthy
25.3,96.21446458421241,498,3258,STABLE,Unhealthy
24.1,95.22656872144107,446,3692,STABLE,Unhealthy
33.1,96.69068031127559,3537,1401,STABLE,Unhealthy
30.5,98.5991225359972,2748,181,STABLE,Unhealthy
25.3,97.14579629680159,1669,915,STABLE,Unhealthy for Sensitive Groups
28.3,99.56262375563024,82,76,STABLE,Moderate
28.6,97.09738172708367,3689,1704,STABLE,Unhealthy
29.01417744,96.91298150243429,47,92,VIBRATING,Unhealthy
28.6,98.30314732229127,80,97,STABLE,Moderate
31.570645135428954,98.31666677525826,617,2815,STABLE,Unhealthy
27.5,99.45707152066461,137,230,STABLE,Good
29.7,98.12290247730968,915,811,STABLE,Unhealthy for Sensitive Groups
33.2,95.3071429247083,100,59,STABLE,Good
26.4,96.29905834717393,90,96,STABLE,Good
28.21771112,97.17101279590773,86,81,STABLE,Unhealthy for Sensitive Groups
28.50830229,95.29812295292191,87,82,VIBRATING,Unhealthy for Sensitive Groups
31.6,98.87271503837628,117,2129,STABLE,Unhealthy
30.1,98.11567518741685,417,1042,STABLE,Moderate
29.0,96.71044573132195,46,87,STABLE,Unhealthy
31.1,95.36289218072682,2208,532,STABLE,Unhealthy
28.6,97.97384754737612,86,81,STABLE,Unhealthy for Sensitive Groups
26.57713572,94.50831148751315,64,94,STABLE,Good
28.3,94.76258311916774,79,76,STABLE,Unhealthy for Sensitive Groups
29.4,97.93124900257884,134,147,STABLE,Good
29.04079845,97.2459387293473,47,89,STABLE,Unhealthy
29.5,97.15097976530973,857,862,VIBRATING,Unhealthy for Sensitive Groups
28.3,97.67574500028165,86,75,STABLE,Unhealthy
31.8,98.16122278111492,3785,60,STABLE,Unhealthy
32.5,97.75920359801445,877,3470,STABLE,Unhealthy
